"X1","X2"
0.0348651,0.0409059
0.0386004,0.00239091
0.0509325,0.0389427
0.0205855,0.0440601
0.0191473,0.0389824
0.0416424,0.0356547
0.0329682,0.0384428
0.0402462,0.0396259
0.0364236,0.0385013
0.0373476,0.0404172
0.039219,0.0361251
0.0401657,0.0407567
0.0278997,0.0392011
0.0385739,0.0402631
0.0411654,0.0401686
0.0385427,0.0358888
0.0398047,0.0231711
0.0420954,0.0391717
0.0370953,0.0410513
0.0407296,0.0413763
0.0407434,0.0422162
0.0141406,0.0374506
0.0403256,0.0466502
0.0466301,0.0388601
0.0424892,0.0394166
0.0435859,0.0382069
0.0443162,0.0357827
0.0413746,0.0407363
0.0436417,0.0237049
0.0467778,0.0394877
0.0537318,0.0394641
0.0414673,0.0441739
0.0422739,0.0398108
0.0408296,0.0395911
0.0413337,0.0395947
0.0551083,0.0526143
0.0438038,0.0600538
0.0424759,0.0491338
0.030061,0.0373328
0.0465829,0.030279
0.0397897,0.0436159
0.0328984,0.0611907
0.0579292,0.0363879
0.0488438,0.0259809
0.0424484,0.0206716
0.0396068,0.0243742
0.0409927,0.0394889
0.0403066,0.0404595
0.0522866,0.039115
0.0433171,0.0434852
0.0437311,0.0391488
0.0425477,0.0377715
0.0423849,0.0400415
0.0381407,0.0461759
0.0409207,0.0345604
0.0332213,0.0460253
0.0423757,0.0301346
0.0538952,0.0374695
0.0257327,0.11319
0.0402176,0.0396914
0.0364549,0.0430092
0.0398525,0.0397751
0.0402212,0.0395303
0.0364364,0.0557748
0.0370079,0.042137
0.0426633,0.0377182
0.0394521,0.0343771
0.0546828,0.0390112
0.0367177,0.0402097
0.0355501,0.037858
0.0333193,0.0390156
0.0380932,0.0420889
0.0349562,0.0612528
0.0349427,0.0378736
0.0476023,0.0454896
0.0572654,0.0377369
0.0332929,0.0038674
0.0389198,0.0428145
0.0370506,0.0444727
0.0419211,0.0388788
0.0334062,0.0408346
0.0616004,0.0364461
0.0406915,0.0362006
0.0476892,0.0425912
0.0411976,0.00809343
0.0365264,0.03485
0.0436469,0.0425005
0.0376949,0.0393473
0.0407433,0.0423453
0.0377366,0.0387609
0.0400361,0.0385957
0.0101161,0.0415252
0.0457591,0.0402588
0.0452942,0.0365576
0.0368225,0.0401377
0.0427907,0.0361619
0.042401,0.0444691
0.0365848,0.0402338
0.0331975,0.0395225
0.0572865,0.0398809
0.0406022,0.0389417
0.0361753,0.0410631
0.0409506,0.0480569
0.03971,0.0325574
0.0498219,0.0404639
0.0291907,0.0395261
0.0379154,0.0382122
0.0432549,0.0410334
0.0283345,0.040724
0.0442809,0.0392624
0.0363813,0.044606
0.0401023,0.0367731
0.0494035,0.0256851
0.0396161,0.0409845
0.0353363,0.0452684
0.0464283,0.0278728
0.0381415,0.0391963
0.0396888,0.0367121
0.0382478,0.0399176
0.0312,0.0387938
0.039921,0.030653
0.0282734,0.0406316
0.0331909,0.0425318
0.0423248,0.0852289
0.0448027,0.0413525
0.0327692,0.0412327
0.0442518,0.0380976
0.0375918,0.0403457
0.0342438,0.0400572
0.0396359,0.0392643
0.0394341,0.0366145
0.0574408,0.0390389
0.0366517,0.0348583
5.09437e-007,0.0401139
0.0433446,0.0380937
0.0411501,0.0169214
0.0402722,0.0381962
0.0400541,0.040355
0.0306345,0.039307
0.0439753,0.0374848
0.0324665,0.0432885
0.0395218,0.0390326
0.0354606,0.0462491
0.0339744,0.035291
0.0254462,0.0430748
0.0422119,0.0411125
0.0451065,0.0432689
0.0366553,0.0392498
0.0402799,0.0388266
0.0368201,0.0412873
0.0415232,0.0391203
0.0281134,0.0428175
0.0461012,0.0652486
0.0352983,0.0361946
0.0419489,0.0387242
0.0367926,0.039539
0.040285,0.0387319
0.0403577,0.0389582
0.0354154,0.0259179
0.0396461,0.0390848
0.0377105,0.0436537
0.066282,0.0413302
0.0460485,0.0470777
0.0408807,0.039596
0.0401886,0.0388319
0.0406774,0.046197
0.0422491,0.038233
